name,input,width,height,tile_size,qstep,dead_zone,psnr_db,psnr_r,psnr_g,psnr_b,ssim,bpp,compressed_bytes,encode_ms,decode_ms,encode_fps,decode_fps
sb_full_perceptual_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0,39.42,38.97,40.54,38.95,0.9991,3.27,847248,,,,
sb_uniform_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0,38.19,38.05,38.99,37.65,0.9989,3.02,781707,,,,
sb_perceptual_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0,35.34,34.97,36.47,34.78,0.9977,2.13,551180,,,,
sb_aggressive_hh_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0,37.19,37.06,37.95,36.65,0.9986,2.75,711519,,,,
sb_chroma_save_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0,35.86,35.28,36.90,35.58,0.9979,2.17,562940,,,,
sb_full_perceptual_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0,34.34,33.84,35.48,33.90,0.9971,1.85,478485,,,,
sb_uniform_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0,32.68,32.29,33.66,32.25,0.9959,1.76,456504,,,,
sb_perceptual_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0,30.27,29.60,31.70,29.81,0.9922,1.19,307381,,,,
sb_aggressive_hh_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0,31.91,31.58,32.83,31.45,0.9951,1.64,425203,,,,
sb_chroma_save_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0,30.79,29.93,32.14,30.58,0.9927,1.22,316493,,,,
sb_full_perceptual_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0,29.48,28.78,30.86,29.06,0.9905,1.02,263898,,,,
combo_uniform_dz0_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0,43.47,43.31,43.91,43.21,0.9997,5.02,1301245,,,,
combo_perceptual_dz0_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0,40.54,40.21,41.38,40.13,0.9993,3.66,948533,,,,
combo_full_perceptual_dz0_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0,39.42,38.97,40.54,38.95,0.9991,3.27,847248,,,,
combo_uniform_dz50_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0.5,43.47,43.31,43.91,43.21,0.9997,5.02,1301245,,,,
combo_perceptual_dz50_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0.5,40.54,40.21,41.38,40.13,0.9993,3.66,948533,,,,
combo_full_perceptual_dz50_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0.5,39.42,38.97,40.54,38.95,0.9991,3.27,847248,,,,
combo_uniform_dz75_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0.75,42.70,42.52,43.18,42.43,0.9996,4.14,1074087,,,,
combo_perceptual_dz75_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0.75,39.49,39.30,40.43,38.88,0.9992,2.95,764326,,,,
combo_full_perceptual_dz75_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0.75,38.19,37.86,39.39,37.55,0.9988,2.59,670092,,,,
combo_uniform_dz0_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0,38.19,38.05,38.99,37.65,0.9989,3.02,781707,,,,
combo_perceptual_dz0_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0,35.34,34.97,36.47,34.78,0.9977,2.13,551180,,,,
combo_full_perceptual_dz0_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0,34.34,33.84,35.48,33.90,0.9971,1.85,478485,,,,
combo_uniform_dz50_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0.5,38.19,38.05,38.99,37.65,0.9989,3.02,781707,,,,
combo_perceptual_dz50_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0.5,35.34,34.97,36.47,34.78,0.9977,2.13,551180,,,,
combo_full_perceptual_dz50_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0.5,34.34,33.84,35.48,33.90,0.9971,1.85,478485,,,,
combo_uniform_dz75_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0.75,37.36,37.19,38.14,36.84,0.9986,2.44,633538,,,,
combo_perceptual_dz75_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0.75,34.18,33.91,35.17,33.61,0.9971,1.65,428906,,,,
combo_full_perceptual_dz75_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0.75,33.11,32.79,34.50,32.33,0.9964,1.41,366622,,,,
combo_uniform_dz0_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0,32.68,32.29,33.66,32.25,0.9959,1.76,456504,,,,
combo_perceptual_dz0_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0,30.27,29.60,31.70,29.81,0.9922,1.19,307381,,,,
combo_full_perceptual_dz0_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0,29.48,28.78,30.86,29.06,0.9905,1.02,263898,,,,
combo_uniform_dz50_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0.5,32.68,32.29,33.66,32.25,0.9959,1.76,456504,,,,
combo_perceptual_dz50_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0.5,30.27,29.60,31.70,29.81,0.9922,1.19,307381,,,,
combo_full_perceptual_dz50_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0.5,29.48,28.78,30.86,29.06,0.9905,1.02,263898,,,,
combo_uniform_dz75_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0.75,31.83,31.35,33.13,31.25,0.9950,1.35,349902,,,,
combo_perceptual_dz75_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0.75,29.21,29.25,30.38,28.27,0.9918,0.87,224249,,,,
combo_full_perceptual_dz75_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0.75,28.18,28.19,29.95,26.92,0.9898,0.73,190224,,,,
cfl_off_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0,43.47,43.31,43.91,43.21,0.9997,5.02,1301245,,,,
cfl_on_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0,43.46,43.26,43.93,43.24,0.9997,4.92,1275520,,,,
cfl_off_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0,38.19,38.05,38.99,37.65,0.9989,3.02,781707,,,,
cfl_on_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0,38.31,38.00,38.94,38.05,0.9989,2.91,753049,,,,
cfl_off_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0,32.68,32.29,33.66,32.25,0.9959,1.76,456504,,,,
cfl_on_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0,32.87,32.26,33.88,32.63,0.9957,1.67,431757,,,,
wavelet_53_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0,43.47,43.31,43.91,43.21,0.9997,5.02,1301245,,,,
wavelet_97_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0,46.68,46.49,47.17,46.43,0.9998,5.81,1506127,,,,
wavelet_53_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0,38.19,38.05,38.99,37.65,0.9989,3.02,781707,,,,
wavelet_97_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0,42.79,42.58,43.36,42.49,0.9996,3.68,954255,,,,
wavelet_53_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0,32.68,32.29,33.66,32.25,0.9959,1.76,456504,,,,
wavelet_97_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0,39.22,38.98,39.97,38.79,0.9991,2.35,609970,,,,
